Biedna biedną
Birbante-rokka Birbante-rokką
Bitwa bitwą
Bonaparta Bonapartą
Brama bramą
Chwała chwalą chwałą
Ciał ciął
Część cześć
Daję daje
Dalszą dalsza
Demokrata demokratą
Dobra dobrą
Duma dumą
Dziewica dziewicą
Dziwna dziwną
Długą długa
Głowa głową
Hrabia Hrabią
Iżby izby
Jadąc jadać
Kanię kanie
Karczma karczmą
Kat kąt
Każę każe
Kochana kochaną
Koroną korona
Która którą
Lipa lipą
Litewską litewska
Litwa Litwą
Mają maja
Maryja Maryją
Miedź miedz
Milej miłej
Mitra mitrą
Miła miłą
Miłe mile milę
Modrą modra
Moskwa Moskwą
Mowa mową
Nagła nagłą
Niebogata niebogatą
Niemiecką niemiecka
Oddal oddał
Ojczyzna ojczyzną
Ostatnia ostatnią
Otoż Otóż
Owdzie Ówdzie ówdzie
Owoż Owóż
Ową owa
Pamiętna pamiętną
Panna panną
Para Parą
Pełznie Pełźnie
Pierwszą pierwsza
Pije Piję
Piękna piękną
Podkomorzyna Podkomorzyną
Podobną podobna
Pokojowe pokojowę
Prawa Prawą
Przelękła przelękłą
Przyszła przyszłą
Pszenica pszenicą
Rada radą
Rade radę
Rodzina rodziną
Rożycki Różycki
Rymsza Rymszą
Rózeczka Rózeczką
Rózga Rózgą
Różą róża
Skołuba Skołubą
Soplica Soplicą
Soplice Soplicę
Spiesz Śpiesz śpiesz
Sprawa sprawą
Spójrzał spojrzał
Staje staję
Stał stal
Strapczyna Strapczyną
Stroj strój
Suknia suknią
Suknię suknie
Szarą szara
Szkoda szkodą
Sędzia Sędzią
Telimena Telimeną
Trafia trafią
Trwoga trwogą
Trzasł trząsł
Twoja Twoją
Tylą tyla
Tędy tedy
Uczta ucztą
Uwaga uwagą
Uwiązaną uwiązana
Warte Wartę
Ważna ważną
Wesoł wesół
Wolał wołał
Wspartą wsparta
Wyprawa Wyprawą
Wódka wódką
Wąsalów wasalów
Zadął zadał Żądał żądał
Zan zań
Zdrada zdradą
Zgodą zgoda
Zgraja zgrają
Zofia Zofią
Zofija Zofiją
Zosia Zosią
baki bąki
barwa barwą
biała białą
biega biegą
bije biję
bliska bliską
bogata bogatą
bracia bracią
broda brodą
bronie bronię
bryka bryką
budowa budową
burza burzą
błyskawica błyskawicą
cała całą
ce cę
cesarska cesarską
chce chcę
chmura chmurą
chory chóry
chorze chórze
chustka chustką
chwale chwalę
chwila chwilą
chwile chwilę
chłopie chłopię
chłopska chłopską
cicha cichą
cie cię
ciekawa ciekawą
ciotka ciotką
cisza ciszą
ciągnąc ciągnąć
ciężka ciężką
ciżba ciżbą
cudna cudną
cudza cudzą
czarna czarną
czegoż czegóż
cześci części
czuje czuję
czule czułe
czuła czułą
czwarta czwartą
czyja czyją
czysta czystą
córka córką
da dą
dala dała
daleka daleką
dama damą
dawna dawną
drobna drobną
droga drogą
druga drugą
dusza duszą
dusze duszę
dwom dwóm
dworska dworską
dziatwa dziatwą
dzida dzidą
dziecinna dziecinną
dziewczyna dziewczyną
fajka fajką
fraszka fraszką
gesta gęsta
gesty gęsty
godna godną
gorą górą
gotowa gotową
granice granicę
gromada gromadą
gwiazda gwiazdą
góre górę
głośna głośną
głucha głuchą
historie historię
historyje historyję
inna inną
ja ją
jada jadą
jaka jaką
jasna jasną
jazda jazdą
jedna jedną
jedyna jedyną
kabale kabałę
kapać kąpać
karabela karabelą
karabele karabelę
katy kąty
każda każdą
kilka kilką
kitka kitką
kobieta kobietą
kometa kometą
kosa kosą
kreci kręci
krewna krewną
krople kroplę
krwawa krwawą
krzykliwa krzykliwą
krzywa krzywą
krótka krótką
kula kulą
kule kulę
kupie kupię
kłótnia kłótnią
kłótnie kłótnię
laska laską Łaska łaska łaską
laski łaski
laskę Łaskę łaskę
lekka lekką
leśna leśną
los łoś
losie Łosie
ma mą
